PLANT_NAME,Forecast_Month,Predicted_Inventory_KT,Max_Capacity_KT,Warehouse_Risk
CHINA-WAREHOUSE,2023-12-31,42.230173,70.0,Healthy
CHINA-WAREHOUSE,2024-01-31,39.023693,70.0,Underflow
CHINA-WAREHOUSE,2024-02-29,46.217648,70.0,Healthy
CHINA-WAREHOUSE,2024-03-31,48.478708,70.0,Healthy
CHINA-WAREHOUSE,2024-04-30,48.415015,70.0,Healthy
CHINA-WAREHOUSE,2024-05-31,52.826486,70.0,Healthy
CHINA-WAREHOUSE,2024-06-30,72.524391,70.0,Overflow
CHINA-WAREHOUSE,2024-07-31,76.136124,70.0,Overflow
CHINA-WAREHOUSE,2024-08-31,68.138683,70.0,Overflow
CHINA-WAREHOUSE,2024-09-30,66.701368,70.0,Overflow
CHINA-WAREHOUSE,2024-10-31,62.785369,70.0,Overflow
CHINA-WAREHOUSE,2024-11-30,54.764596,70.0,Healthy
CHINA-WAREHOUSE,2024-12-31,72.62642,70.0,Overflow
CHINA-WAREHOUSE,2025-01-31,57.73462341561592,70.0,Overflow
CHINA-WAREHOUSE,2025-02-28,56.68014813937193,70.0,Overflow
CHINA-WAREHOUSE,2025-03-31,57.42813575429261,70.0,Overflow
SINGAPORE-WAREHOUSE,2023-12-31,32.645625,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-01-31,40.21385,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-02-29,36.4658,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-03-31,34.9383,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-04-30,34.619875,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-05-31,35.428425,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-06-30,40.01055,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-07-31,44.052125,53.5,Overflow
SINGAPORE-WAREHOUSE,2024-08-31,41.42888,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-09-30,43.000974,53.5,Overflow
SINGAPORE-WAREHOUSE,2024-10-31,42.7493,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-11-30,42.667825,53.5,Healthy
SINGAPORE-WAREHOUSE,2024-12-31,57.287175,53.5,Overflow
SINGAPORE-WAREHOUSE,2025-01-31,44.918492517670465,53.5,Overflow
SINGAPORE-WAREHOUSE,2025-02-28,42.969693231934464,53.5,Overflow
SINGAPORE-WAREHOUSE,2025-03-31,42.04302001757976,53.5,Healthy
